Name,Rating,Reviews,Price Category,Category,Address,Price Level (1-4),Closing Time,Review Snippet,Order Options
Kimukatsu The Park Mall Semarang,5.0,4302.0,Rp 50–100 rb,Jepang,Jl. Madukoro Raya Lt LG,2,22.00,"Menunyaa enak enak, tempatnya nyaman, service good 👍🏻","Pesan Online, Reservasi Tempat"
Gang Gang Sulai,4.5,1056.0,Rp 125–250 rb,Korea,Jl. Diponegoro No.27,3,22.00,"Pilihan daging lengkap dan kualitasnya baik, bumbunya juga enak.",Datang Langsung
Waroeng Steak Imam Bonjol Semarang,4.5,5793.0,Rp 25–50 rb,Indonesia,Jl. Imam Bonjol No.187b,1,22.00,Tempat untuk makan ada outdoor dan indoor Mampir karena butuh cemil²,Pesan Online
Eastman Coffee House,4.7,4374.0,Rp 50–100 rb,Umum,Jl. Ahmad Yani No.140,2,23.00,semua menu enak dan ambience enak.,"Pesan Online, Reservasi Tempat"
Restoran Simpang Raya Semarang,4.6,1752.0,Rp 25–50 rb,Umum,Jl. Ahmad Yani No.165,1,21.00,"Tempat bersih, parkir mobil luas, menu masakan padang lengkap.",Datang Langsung
Happy Resto,4.5,1165.0,Rp 25–50 rb,Umum,Jalan Brigadir Jenderal Jl. Mayor Jend. D.I. Panjaitan No.19 Segera tutup,1,,Tempat bersih oke ac an Makanan enak Owner nya ramah Pelayanan oke,Pesan Online
Pepper Lunch DP Mall,4.9,11566.0,Rp 75–100 rb,Jepang,Jl. Pemuda No.150,2,22.00,"makanannya enak, pelayanannya bagus, dagingnya fresh dan enakk","Pesan Online, Reservasi Tempat"
Genki Sushi,4.8,1662.0,Rp 50–150 rb,Jepang,Jl. Pemuda No.118 Lt 2 Gerai sushi conveyor belt dari Jepang,2,22.00,"nyaman, good service, enak makanan minumannya",Pesan Online
Sai Ramen Semarang,4.5,1647.0,Rp 50–75 rb,Umum,Jl. Letjen Suprapto No.61,2,22.00,Menu black garlic cukup terasa aroma bawang putihnya.,Pesan Online
Kartika Grand Bistro,4.4,74.0,Rp 25–50 rb,Umum,Jl. Mgr Sugiyopranoto No.1,1,22.00,suasana Enak Live music setiap hari,Pesan Online
Wingstop DP Mall Semarang,4.5,114.0,Rp 25–50 rb,Umum,Jl. Pemuda No.150 Lt 2,1,22.00,"Cita rasa baru mam crispy fried chicken, ada banyak pilihan bumbu unik.",Pesan Online
Janur Sambel Sedeeep,4.6,38.0,Rp 1–25.000,Umum,Jl. Sekayu Raya No.9,1,16.00,Tempat makan enak dan murah,Datang Langsung
